VUOSI;UUSIMAA;VARSINAIS-SUOMI;SATAKUNTA;KANTA-HÄME;PIRKANMAA;PÄIJÄT-HÄME;KYMENLAAKSO;ETELÄ-KARJALA;ETELÄ-SAVO;POHJOIS-SAVO;POHJOIS-KARJALA;KESKI-SUOMI;ETELÄ-POHJANMAA;POHJANMAA;KESKI-POHJANMAA;POHJOIS-POHJANMAA;KAINUU;LAPPI;AHVENANMAA;Yhteensä;
1995;13194;1290;605;734;1310;1017;816;664;677;893;568;776;457;397;164;806;220;524;36;25148;
1996;13830;1303;608;784;1381;1053;866;663;640;851;690;879;561;501;165;870;256;584;29;26514;
1997;13116;1412;620;796;1486;1075;801;584;744;912;700;864;533;525;163;1003;292;575;22;26223;
1998;13830;1531;616;779;1639;1054;891;647;788;1050;768;1037;605;499;213;1066;296;608;34;27951;
1999;13881;1679;688;776;1629;1009;954;705;796;1042;747;1075;580;525;234;1126;312;729;18;28505;
2000;13782;1658;639;748;1635;1081;927;601;785;999;678;1097;562;577;232;1105;318;775;30;28229;
2001;15703;1673;589;798;1690;1035;929;655;784;1118;719;1008;555;631;223;1205;330;828;20;30493;
2002;14789;1517;478;738;1549;964;761;536;680;929;649;1010;474;555;199;1209;283;703;26;28049;
2003;14678;1405;503;630;1504;919;749;573;576;811;586;876;433;496;196;1049;205;597;23;26809;
2004;15160;1586;491;689;1664;921;790;541;613;781;572;1041;402;501;152;1026;223;574;31;27758;
2005;15377;1739;553;753;1701;1062;800;605;657;930;623;1025;440;555;161;1172;219;640;44;29056;
2006;14843;1652;595;723;1870;995;935;626;593;889;723;1228;508;643;176;1318;229;685;32;29263;
2007;14706;1792;586;749;1785;1029;868;694;628;910;682;1109;456;697;200;1295;224;745;45;29200;
2008;14639;1832;517;718;1939;1039;938;644;609;887;699;1207;510;663;234;1324;235;752;46;29432;
2009;16351;1703;507;770;1933;1036;907;624;614;827;643;1108;463;652;189;1392;227;721;35;30702;
2010;15696;1695;492;762;1896;1078;870;654;546;823;618;1130;447;703;164;1387;212;690;59;29922;
2011;16330;1909;512;803;2089;997;885;675;574;855;624;1114;460;751;193;1367;228;625;58;31049;
2012;17769;1875;485;798;2172;1135;816;656;575;865;665;1151;433;812;179;1377;313;679;58;32813;
2013;17657;2023;460;771;2013;1171;915;640;629;817;621;1236;478;831;200;1502;280;711;54;33009;
2014;17609;2119;479;838;2094;1147;894;750;541;765;593;1178;437;829;202;1451;206;669;81;32882;
2015;18631;2257;498;860;2320;1182;973;728;580;819;743;1320;459;959;206;1593;259;741;73;35201;
2016;18422;2364;537;817;2587;1153;1005;747;623;812;794;1321;403;960;223;1568;299;628;75;35338;
